cellID,X,Y,Drought ET,ET Difference,Pre-Drought ET,Topographic Zone,Beaver?
1,393870,3974430,0,-0.385400057,0.385400057,hillslope,no
2,393900,3974430,0,-0.11498864,0.11498864,hillslope,no
3,393930,3974430,0,-0.050127253,0.050127253,hillslope,no
4,393960,3974430,0,0,0,hillslope,no
5,393990,3974430,0,0,0,hillslope,no
6,394020,3974430,0,0,0,hillslope,no
7,394050,3974430,0,0,0,hillslope,no
8,394080,3974430,0,-0.272111356,0.272111356,hillslope,no
9,394110,3974430,0,-0.33420825,0.33420825,hillslope,no
10,394140,3974430,0,-0.208152905,0.208152905,hillslope,no
11,394170,3974430,0,0,0,hillslope,no
12,394200,3974430,0,0,0,hillslope,no
13,394230,3974430,0,0,0,hillslope,no
14,394260,3974430,0,-0.073011436,0.073011436,hillslope,no
15,394290,3974430,0,-0.243491873,0.243491873,hillslope,no
16,394320,3974430,0,-0.683209717,0.683209717,hillslope,no
17,394350,3974430,0,-0.887249589,0.887249589,hillslope,no
18,394380,3974430,0,-0.966164351,0.966164351,hillslope,no
19,394410,3974430,0,-1.083489537,1.083489537,hillslope,no
20,394440,3974430,0,-1.375371814,1.375371814,hillslope,no
21,394470,3974430,0.129541889,-1.553456664,1.682998538,hillslope,no
22,394500,3974430,0.706447244,-1.472339273,2.178786516,hillslope,no
23,394530,3974430,1.308244348,-1.373517633,2.68176198,hillslope,no
24,394560,3974430,1.802737117,-1.161239982,2.963977099,hillslope,no
25,394590,3974430,2.016916752,-0.948580504,2.965497255,hillslope,no
26,394620,3974430,1.913906097,-1.071167469,2.985073566,hillslope,no
27,393870,3974460,0,-0.512471855,0.512471855,hillslope,no
28,393900,3974460,0,-0.339256108,0.339256108,hillslope,no
29,393930,3974460,0,-0.236689195,0.236689195,hillslope,no
30,393960,3974460,0,0,0,hillslope,no
31,393990,3974460,0,0,0,hillslope,no
32,394020,3974460,0,0,0,hillslope,no
33,394050,3974460,0,0,0,hillslope,no
34,394080,3974460,0,-0.14607352,0.14607352,hillslope,no
35,394110,3974460,0,-0.261365384,0.261365384,hillslope,no
36,394140,3974460,0,-0.288505137,0.288505137,hillslope,no
37,394170,3974460,0,-0.310851008,0.310851008,hillslope,no
38,394200,3974460,0,-0.280788451,0.280788451,hillslope,no
39,394230,3974460,0,-0.446065605,0.446065605,hillslope,no
40,394260,3974460,0,-0.556121171,0.556121171,hillslope,no
41,394290,3974460,0,-0.794780433,0.794780433,hillslope,no
42,394320,3974460,0,-0.909422278,0.909422278,hillslope,no
43,394350,3974460,0,-0.969373643,0.969373643,hillslope,no
44,394380,3974460,0,-0.929916143,0.929916143,hillslope,no
45,394410,3974460,0,-1.072490454,1.072490454,hillslope,no
46,394440,3974460,0,-1.139803529,1.139803529,hillslope,no
47,394470,3974460,0.10473454,-1.492735028,1.597469568,hillslope,no
48,394500,3974460,0.501808047,-1.470741034,1.972549081,hillslope,no
49,394530,3974460,1.011274219,-1.381030917,2.392305136,hillslope,no
50,394560,3974460,1.608350039,-1.089089871,2.697439909,hillslope,no
51,394590,3974460,1.855320573,-1.014094472,2.869415045,hillslope,no
52,394620,3974460,1.876533032,-1.071947575,2.948480606,hillslope,no
53,393870,3974490,0,-0.80740875,0.80740875,riparian,no
54,393900,3974490,0,-0.695840895,0.695840895,riparian,no
55,393930,3974490,0,-0.627735674,0.627735674,riparian,no
56,393960,3974490,0,-0.381127805,0.381127805,riparian,no
57,393990,3974490,0,-0.05845011,0.05845011,hillslope,no
58,394020,3974490,0,0,0,hillslope,no
59,394050,3974490,0,0,0,hillslope,no
60,394080,3974490,0,-0.232381403,0.232381403,hillslope,no
61,394110,3974490,0,-0.431199163,0.431199163,hillslope,no
62,394140,3974490,0,-0.556133986,0.556133986,riparian,no
63,394170,3974490,0,-0.667131901,0.667131901,hillslope,no
64,394200,3974490,0,-0.783895552,0.783895552,hillslope,no
65,394230,3974490,0,-0.945059717,0.945059717,hillslope,no
66,394260,3974490,0,-1.086481333,1.086481333,hillslope,no
67,394290,3974490,0,-1.169705987,1.169705987,hillslope,no
68,394320,3974490,0,-1.169922352,1.169922352,hillslope,no
69,394350,3974490,0,-1.199546576,1.199546576,hillslope,no
70,394380,3974490,0,-1.150961161,1.150961161,hillslope,no
71,394410,3974490,0.035952572,-1.130467415,1.166419983,hillslope,no
72,394440,3974490,0.007852723,-1.271889806,1.279742479,hillslope,no
73,394470,3974490,0.180777773,-1.306787729,1.487565517,hillslope,no
74,394500,3974490,0.305562943,-1.384523869,1.690086842,hillslope,no
75,394530,3974490,0.491424054,-1.450261831,1.941685915,hillslope,no
76,394560,3974490,1.061681867,-1.190536141,2.252218008,hillslope,no
77,394590,3974490,1.502354026,-1.072430968,2.574784994,hillslope,no
78,394620,3974490,1.937579751,-1.02462256,2.962202311,hillslope,no
79,393870,3974520,0,-0.953267634,0.953267634,riparian,no
80,393900,3974520,0,-1.162575245,1.162575245,riparian,no
81,393930,3974520,0,-0.897785544,0.897785544,riparian,no
82,393960,3974520,0,-0.887599349,0.887599349,riparian,no
83,393990,3974520,0,-0.460368753,0.460368753,riparian,no
84,394020,3974520,0,-0.150730923,0.150730923,riparian,no
85,394050,3974520,0,-0.075559616,0.075559616,riparian,no
86,394080,3974520,0,-0.523628533,0.523628533,riparian,no
87,394110,3974520,0.043711782,-0.898090184,0.941801965,riparian,no
88,394140,3974520,0.170153096,-0.982272565,1.152425647,riparian,no
89,394170,3974520,0.442573279,-0.868716836,1.311290145,riparian,no
90,394200,3974520,0.526239872,-0.932658076,1.458897948,riparian,no
91,394230,3974520,0.695621491,-0.981006384,1.676627874,riparian,no
92,394260,3974520,0.675034046,-0.969505549,1.644539595,riparian,no
93,394290,3974520,0.789758921,-0.865561128,1.655320048,hillslope,no
94,394320,3974520,0.877755821,-0.765700281,1.643456101,hillslope,no
95,394350,3974520,0.962540746,-0.639711142,1.602251887,hillslope,no
96,394380,3974520,0.94624126,-0.724089623,1.670330882,hillslope,no
97,394410,3974520,0.866595328,-0.892739713,1.759335041,hillslope,no
98,394440,3974520,0.740506232,-1.017246723,1.757752895,hillslope,no
99,394470,3974520,0.428551018,-1.192899227,1.621450305,hillslope,no
100,394500,3974520,0.438878655,-1.33787632,1.776754975,hillslope,no
101,394530,3974520,0.451706231,-1.451469421,1.903175592,hillslope,no
102,394560,3974520,0.65579176,-1.306215048,1.962006807,hillslope,no
103,394590,3974520,1.19516027,-1.142247558,2.337407827,hillslope,no
104,394620,3974520,1.757290125,-1.059648037,2.816938162,hillslope,no
105,393870,3974550,0,-1.284019113,1.284019113,riparian,no
106,393900,3974550,0,-1.399253964,1.399253964,riparian,no
107,393930,3974550,0,-1.215041995,1.215041995,riparian,no
108,393960,3974550,0.015597535,-1.246242642,1.261840224,riparian,no
109,393990,3974550,0,-1.009937882,1.009937882,riparian,no
110,394020,3974550,0.173143253,-1.041482687,1.214625955,riparian,no
111,394050,3974550,0.736244381,-0.850409091,1.586653471,riparian,no
112,394080,3974550,0.879629791,-0.897244036,1.776873827,riparian,no
113,394110,3974550,0.642171204,-1.085528374,1.727699518,riparian,no
114,394140,3974550,0.803608418,-1.093431711,1.897040129,riparian,no
115,394170,3974550,2.349234819,-0.569713593,2.918948412,riparian,no
116,394200,3974550,2.539842844,-0.509094954,3.048937798,riparian,no
117,394230,3974550,2.258526564,-0.482008219,2.740534782,riparian,no
118,394260,3974550,1.786642194,-0.502057672,2.288699865,riparian,no
119,394290,3974550,1.981091738,-0.263819218,2.244910955,riparian,yes
120,394320,3974550,2.236859798,-0.210705519,2.447565317,riparian,yes
121,394350,3974550,2.333761931,-0.300777197,2.634539127,riparian,yes
122,394380,3974550,2.253924847,-0.47305584,2.726980686,riparian,no
123,394410,3974550,1.893283844,-0.545232296,2.43851614,riparian,no
124,394440,3974550,1.576851606,-0.830560684,2.407412291,hillslope,no
125,394470,3974550,0.971507728,-1.107040167,2.078547955,hillslope,no
126,394500,3974550,0.61258626,-1.301470041,1.914056301,hillslope,no
127,394530,3974550,0.544212699,-1.391339779,1.935552478,hillslope,no
128,394560,3974550,0.316986263,-1.368363142,1.685349464,hillslope,no
129,394590,3974550,0.80551213,-1.206810474,2.012322664,hillslope,no
130,394620,3974550,1.492032647,-0.994052053,2.4860847,hillslope,no
131,393870,3974580,0.636995971,-1.445329189,2.08232522,riparian,no
132,393900,3974580,0.622659683,-1.406261683,2.028921366,riparian,no
133,393930,3974580,0.785483718,-1.338611484,2.124095202,riparian,no
134,393960,3974580,1.035104632,-1.194248319,2.229352951,riparian,no
135,393990,3974580,1.214138866,-1.0244385,2.238577366,riparian,no
136,394020,3974580,1.50831008,-0.884414673,2.392724752,riparian,no
137,394050,3974580,2.549309492,-0.534785748,3.08409524,riparian,no
138,394080,3974580,2.481249332,-0.689868212,3.171117544,riparian,no
139,394110,3974580,2.555144072,-0.688288689,3.24343276,riparian,no
140,394140,3974580,2.405767679,-0.715787411,3.12155509,riparian,no
141,394170,3974580,3.335220814,-0.14216423,3.477385044,riparian,no
142,394200,3974580,3.401329517,-0.009075642,3.410405159,riparian,no
143,394230,3974580,3.925224066,0.192888975,3.732335091,riparian,yes
144,394260,3974580,3.232412338,-0.042288303,3.274700642,riparian,yes
145,394290,3974580,3.257457256,-0.129125118,3.386582375,riparian,yes
146,394320,3974580,4.025555134,-0.1236763,4.149231434,riparian,yes
147,394350,3974580,4.130744934,-0.565611363,4.696356297,riparian,yes
148,394380,3974580,4.147145271,-0.603403568,4.75054884,riparian,yes
149,394410,3974580,3.264028549,-0.695358038,3.959386587,riparian,yes
150,394440,3974580,2.398957729,-0.817515612,3.216473341,hillslope,yes
151,394470,3974580,1.917421579,-0.840176821,2.7575984,hillslope,no
152,394500,3974580,1.179844499,-1.121554971,2.301399469,hillslope,no
153,394530,3974580,0.78090632,-1.30301702,2.08392334,hillslope,no
154,394560,3974580,0.468817294,-1.228901625,1.697718978,hillslope,no
155,394590,3974580,0.9818452,-0.87421757,1.85606277,hillslope,no
156,394620,3974580,1.659742832,-0.849987984,2.509730816,hillslope,no
